2025-06-25 23:08:24.370 [main] INFO  com.zbkj.pc.CrmebPcApplication - Starting CrmebPcApplication on macdeMacBook-Pro.local with PID 7468 (/Users/mac/tool/商城装修系统/finance/finance-pc/target/classes started by mac in /Users/mac/tool/商城装修系统/finance/finance-pc)
2025-06-25 23:08:24.372 [main] INFO  com.zbkj.pc.CrmebPcApplication - No active profile set, falling back to default profiles: default
2025-06-25 23:08:26.478 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-06-25 23:08:26.480 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-25 23:08:26.507 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11ms. Found 0 Redis repository interfaces.
2025-06-25 23:08:27.998 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 20002 (http)
2025-06-25 23:08:28.011 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-20002"]
2025-06-25 23:08:28.011 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-06-25 23:08:28.012 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2025-06-25 23:08:28.342 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2025-06-25 23:08:28.348 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-25 23:08:28.349 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3899 ms
2025-06-25 23:08:40.831 [main] INFO  c.a.c.config.AjCaptchaServiceAutoConfiguration - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='classpath:images/jigsaw', picClick='classpath:images/pic-click', waterMark='CRMEB Java', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='3600', cacheType=redis, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=360, reqGetMinuteLimit=30, reqCheckMinuteLimit=60, reqVerifyMinuteLimit=60}
2025-06-25 23:08:40.854 [main] INFO  com.anji.captcha.util.ImageUtils - 自定义resource底图:[SLIDING_BLOCK=[Ljava.lang.String;@5922338f, ORIGINAL=[Ljava.lang.String;@1e7544bc, PIC_CLICK=[Ljava.lang.String;@60b73425]
2025-06-25 23:08:40.855 [main] INFO  c.anji.captcha.service.impl.CaptchaServiceFactory - supported-captchaCache-service:[local]
2025-06-25 23:08:40.859 [main] INFO  c.anji.captcha.service.impl.CaptchaServiceFactory - supported-captchaTypes-service:[clickWord, default, blockPuzzle]
2025-06-25 23:08:40.860 [main] INFO  c.a.c.service.impl.ClickWordCaptchaServiceImpl - --->>>初始化验证码底图<<<---clickWord
2025-06-25 23:08:41.660 [main] INFO  c.a.c.service.impl.BlockPuzzleCaptchaServiceImpl - --->>>初始化验证码底图<<<---blockPuzzle
2025-06-25 23:08:43.388 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2025-06-25 23:08:43.625 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@70900474, org.springframework.security.web.context.SecurityContextPersistenceFilter@3212ff1b, org.springframework.security.web.header.HeaderWriterFilter@4355f7b6, org.springframework.security.web.authentication.logout.LogoutFilter@65ec90d5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6ba076ef, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4151af88, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@b303504, org.springframework.security.web.session.SessionManagementFilter@5e1fd72a, org.springframework.security.web.access.ExceptionTranslationFilter@3385f1a8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@46b0fb24]
2025-06-25 23:08:43.873 [main] INFO  org.redisson.Version - Redisson 3.14.1
2025-06-25 23:08:44.330 [redisson-netty-2-24] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /43.138.4.152:6379
2025-06-25 23:08:44.546 [redisson-netty-2-19] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for /43.138.4.152:6379
2025-06-25 23:08:44.611 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2025-06-25 23:08:44.636 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2025-06-25 23:08:44.637 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
